date,ticker,sentiment_score,news_count
2020-01-01,QQQ,-0.0336125056989654,11
2020-01-02,QQQ,-0.3051490378859133,50
2020-01-03,QQQ,0.03104408831386147,11
2020-01-06,QQQ,0.04453367268612512,12
2020-01-07,QQQ,0.008363422234675127,16
2020-01-08,QQQ,0.009747915259657864,23
2020-01-09,QQQ,-0.029276124846965002,16
2020-01-10,QQQ,0.04277289522326512,28
2020-01-13,QQQ,0.07632224777169035,28
2020-01-14,QQQ,0.3614803089613698,13
2020-01-15,QQQ,-0.0996180628127185,10
2020-01-16,QQQ,-0.060867963116610115,18
2020-01-17,QQQ,0.2977099182038278,19
2020-01-20,QQQ,0.05659127367573797,10
2020-01-21,QQQ,-0.0023563156089887695,13
2020-01-22,QQQ,0.33064163596490853,21
2020-01-23,QQQ,-0.02636036029008345,11
2020-01-24,QQQ,0.3280614167589044,33
2020-01-27,QQQ,-0.08400771592968893,9
2020-01-28,QQQ,0.007822719250780484,34
2020-01-29,QQQ,0.14423465051572215,24
2020-01-30,QQQ,0.03150135160333662,42
2020-01-31,QQQ,-0.01718735324536201,15
2020-02-03,QQQ,-0.12579825468281858,25
2020-02-04,QQQ,-0.060437286367590375,20
2020-02-05,QQQ,-0.057064142165327,14
2020-02-06,QQQ,-0.15222680584858958,13
2020-02-07,QQQ,0.007875767883984334,38
2020-02-10,QQQ,0.20726992790923485,17
2020-02-11,QQQ,0.006520253478813229,21
2020-02-12,QQQ,0.11025940961765958,26
2020-02-13,QQQ,0.09669694835763346,19
2020-02-14,QQQ,0.1672657154387472,46
2020-02-17,QQQ,0.04167498091358135,6
2020-02-18,QQQ,-0.18738882284195582,18
2020-02-19,QQQ,-0.09682588422785933,13
2020-02-20,QQQ,-0.08940702716653881,18
2020-02-21,QQQ,-0.10945281846400894,13
2020-02-24,QQQ,0.15236023551594866,15
2020-02-25,QQQ,-0.2147527951008158,16
2020-02-26,QQQ,-0.03169121409180734,23
2020-02-27,QQQ,0.19732231920566287,21
2020-02-28,QQQ,-0.11389496340399537,10
2020-03-02,QQQ,0.07177134340504752,16
2020-03-03,QQQ,0.21953316763230632,22
2020-03-04,QQQ,-0.15260063974058408,31
2020-03-05,QQQ,0.043086790618827746,13
2020-03-06,QQQ,-0.13258172948386213,22
2020-03-09,QQQ,-0.03213476298021666,31
2020-03-10,QQQ,-0.2456391020715975,19
2020-03-11,QQQ,-0.01256992469296325,11
2020-03-12,QQQ,0.14153767008186735,33
2020-03-13,QQQ,0.09310837991937439,28
2020-03-16,QQQ,-0.04484440373361628,8
