date,ticker,open,high,low,close,volume,sma_5,sma_10,sma_20,sma_50,ema_12,ema_26,rsi,macd,macd_signal,macd_hist,bb_middle,bb_upper,bb_lower
2020-01-01,IWM,200.0,200.10520304505764,187.35915301893056,187.457758654081,29301196,187.457758654081,187.457758654081,187.457758654081,187.457758654081,187.457758654081,187.457758654081,,0.0,0.0,0.0,187.457758654081,,
2020-01-02,IWM,187.5867890320807,192.26307007581812,185.52616789735796,190.1740283890561,41123939,188.81589352156857,188.81589352156857,188.81589352156857,188.81589352156857,187.87564630561565,187.65896381963472,,0.21668248598092532,0.04333649719618507,0.17334598878474025,188.81589352156857,192.6572790198339,184.97450802330323
2020-01-03,IWM,189.9725582482629,193.9372130871408,186.4936999528772,190.4496186585936,33868368,189.3604685672436,189.3604685672436,189.3604685672436,189.3604685672436,188.27164205222763,187.86567899289093,,0.40596305933669896,0.11586180962428785,0.29010124971241114,189.3604685672436,192.66756170739023,186.05337542709697
2020-01-06,IWM,190.00340851226724,190.2559728237852,187.94093919329703,188.19109446461252,48405680,189.0681250415858,189.0681250415858,189.0681250415858,189.0681250415858,188.25925011567148,187.8897838426481,,0.3694662730233915,0.1665827023041086,0.20288357071928292,189.0681250415858,192.01068840544178,186.12556167772982
2020-01-07,IWM,188.47463424844048,189.22696787622732,188.24850404254397,189.00020709266207,28216653,189.05454145180107,189.05454145180107,189.05454145180107,189.05454145180107,188.37324349674697,187.9720374167232,,0.4012060800237691,0.2135073778480407,0.18769870217572843,189.05454145180107,191.6036000311514,186.50548287245076
2020-01-08,IWM,188.43989920285827,189.97658689766615,183.92375286266747,185.43594393486197,25801740,188.65017850795726,188.45144186564457,188.45144186564457,188.45144186564457,187.92135125645697,187.784178640289,,0.13717261616795895,0.19824042551202437,-0.061067809344065416,188.45144186564457,192.18341967539897,184.71946405589017
2020-01-09,IWM,185.2152357327308,188.7610681257408,184.2133260884701,187.7454713382739,30732680,188.1644670978008,188.350588933163,188.350588933163,188.350588933163,187.89429280750574,187.78131143273234,,0.11298137477339765,0.18118861536429903,-0.06820724059090139,188.350588933163,191.79894778467573,184.9022300816503
2020-01-10,IWM,187.43932611077565,188.1306309750429,185.2705655820297,185.9564011926964,28126610,187.26582360462135,188.0513154656047,188.0513154656047,188.0513154656047,187.5961556359966,187.6461328964334,,-0.049977260436776305,0.13495544020408398,-0.1849327006408603,188.0513154656047,191.6649710126915,184.43765991851788
2020-01-13,IWM,186.165585020828,191.54111406044885,182.76642339767852,188.10651339921745,23452277,187.24890739154236,188.05744856933944,188.05744856933944,188.05744856933944,187.67467221495366,187.68023515589888,,-0.005562940945225137,0.10685176397422216,-0.1124147049194473,188.05744856933944,191.43791410680296,184.67698303187592
2020-01-14,IWM,188.18009944358192,192.26029283846648,184.0413881755293,188.12028464286675,26194593,187.0729229015833,188.06373217669218,188.06373217669218,188.06373217669218,187.74322797309412,187.7128314141928,,0.030396558901315984,0.09156072295964093,-0.06116416405832495,188.06373217669218,191.25111341002673,184.87635094335764
